xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
0.092367        0.01571        0.01733        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01722        3.641       13.280        0.984        0.478        0.131        0.93838        5.26        0.814        6.04        2.80        0.00
0.092367        0.01550        0.01731        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01578        3.914       14.939        0.984        0.492        0.126        1.01649        4.98        0.801        5.49        2.59        0.00
0.092367        0.01536        0.01663        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01663        3.369       12.479        0.985        0.434        0.129        0.90804        5.43        0.827        6.44        3.22        0.00
0.092367        0.07284        0.08102        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07284        3.097        5.411        0.975        0.836        0.270        0.44747        5.68        0.829        6.86        3.03        0.00
0.092367        0.07186        0.08230        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07186        2.824        4.959        0.976        0.757        0.268        0.42206        5.73        0.844        7.08        3.26        0.00
0.092367        0.95437        1.08211        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.97034        2.007        0.845        0.873        1.977        0.985        0.07064        5.25        0.789        5.80        1.95        0.00
0.092367        0.07334        0.08637        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07334        2.552        4.424        0.977        0.691        0.271        0.38747        5.77        0.858        7.28        3.53        0.00
0.092367        0.07211        0.08080        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07211        1.734        2.985        0.981        0.466        0.269        0.27815        5.78        0.901        7.72        4.33        0.00
0.092367        0.00300        0.00357        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00356        4.186       33.790        0.987        0.250        0.060        2.22321        4.67        0.794        4.96        2.77        0.00
0.062102        0.07575        0.08373        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07575        2.824        4.826        0.975        0.777        0.275        0.27814        8.10        0.843       11.07        3.61        0.00
0.062102        0.07442        0.08173        1.190        1.190        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07442        1.190        1.964        0.983        0.325        0.273        0.12949        7.96        0.930       12.04        4.97        0.00
0.062102        0.01590        0.01739        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01739        3.914       14.224        0.984        0.516        0.132        0.66738        7.33        0.801        9.24        3.14        0.00
0.062102        0.01549        0.01723        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01662        4.186       15.586        0.983        0.540        0.129        0.70826        6.99        0.788        8.55        2.65        0.00
0.062102        0.05184        0.06283        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05184        3.914        8.169        0.975        0.891        0.228        0.40084        7.69        0.791        9.68        2.44        0.00
0.062102        0.05631        0.06210        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05826        3.641        7.152        0.975        0.879        0.241        0.36663        7.83        0.803       10.08        2.58        0.00
0.062102        0.07783        0.08134        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07783        1.734        2.871        0.980        0.484        0.279        0.18172        8.14        0.901       11.96        4.40        0.00
0.062102        0.07765        0.08662        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07765        2.552        4.296        0.976        0.711        0.279        0.25471        8.15        0.857       11.35        3.79        0.00
0.062102        0.07364        0.08559        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07364        2.007        3.442        0.979        0.545        0.271        0.21170        8.16        0.887       11.80        4.46        0.00
0.062102        0.07595        0.07931        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07595        3.369        5.768        0.972        0.928        0.276        0.31303        7.98        0.814       10.46        3.12        0.00
0.062102        0.07765        0.08662        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07765        3.097        5.235        0.974        0.863        0.279        0.29389        8.05        0.828       10.77        3.29        0.00
0.062102        0.07706        0.08078        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07706        2.279        3.838        0.978        0.633        0.278        0.23263        8.17        0.872       11.60        4.03        0.00
0.062102        0.07488        0.08615        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07488        1.462        2.443        0.982        0.400        0.274        0.15715        8.08        0.915       12.05        4.72        0.00
0.062102        0.66074        0.79321        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.71456        2.552        1.273        0.877        2.157        0.845        0.06588        7.48        0.769        9.05        1.67        0.00
0.041753        0.07703        0.07953        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07703        2.007        3.363        0.979        0.557        0.278        0.13986       11.69        0.886       18.04        4.58        0.00
0.041753        0.07474        0.08243        1.190        1.190        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07474        1.190        1.959        0.983        0.325        0.273        0.08690       11.37        0.930       18.37        5.21        0.00
0.041753        0.05652        0.05788        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05652        1.734        3.375        0.982        0.412        0.238        0.13689       11.59        0.903       18.22        6.45        0.00
0.041753        0.05710        0.06036        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05710        1.462        2.802        0.983        0.349        0.239        0.11624       11.49        0.917       18.33        6.24        0.00
0.041753        0.07296        0.08592        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07296        2.279        3.946        0.978        0.616        0.270        0.15950       11.69        0.872       17.74        5.04        0.00
0.041753        0.07764        0.07951        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07764        2.824        4.765        0.975        0.787        0.279        0.18523       11.63        0.843       17.01        4.02        0.00
0.041753        0.07719        0.08053        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07719        3.641        6.186        0.971        1.012        0.278        0.21969       11.40        0.799       15.71        3.18        0.00
0.041753        0.07670        0.08406        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07670        3.369        5.738        0.972        0.933        0.277        0.21026       11.48        0.814       16.15        3.41        0.00
