xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.056899        0.82230        1.061        0.763675        0.841860        1.061        1.061        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.98        1.81        0.92        1.924        1.812        9.61      -16.69       10.61        0.78         0        1.31        1.91        1.97        0.00        0.00        0.74        0.1124        8.18        9.76       13.4        0.0        0.000        0.00        0.00        3.32        2.37        2.4        0.48        1.46       -0.84        1.13
0.056899        1.09480        0.980        1.084008        1.313468        0.980        0.980        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.76        2.09        0.91        2.051        1.824        8.80      -23.64        9.80        0.85         0        1.37        1.96        2.15        0.00        0.00        0.74        0.0910        8.00        9.54       12.8        0.0        0.000        0.00        0.00        3.27        2.83        2.8        0.46        1.30       -0.66        1.12
0.056899        1.09660        0.980        1.007248        1.157665        0.980        0.980        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.76        2.09        0.91        2.052        1.825        8.80      -23.68        9.80        0.85         0        1.37        1.96        2.14        0.00        0.00        0.74        0.0909        8.00        9.53       12.9        0.0        0.000        0.00        0.00        3.27        2.83        2.8        0.46        1.30       -0.66        1.12
0.056899        1.36620        0.898        1.234969        1.366251        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.61        2.34        0.90        2.099        1.778        7.98      -38.69        8.98        0.94         0        1.43        2.01        2.52        0.00        0.00        0.75        0.0763        7.85        9.40       12.0        0.0        0.000        0.00        0.00        3.23        3.65        3.6        0.45        1.15       -0.54        1.11
0.056899        1.41830        0.898        1.418328        1.629145        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.60        2.38        0.89        2.139        1.803        7.98      -41.40        8.98        0.94         0        1.43        2.00        2.28        0.00        0.00        0.75        0.0746        7.81        9.31       12.7        0.0        0.000        0.00        0.00        3.23        3.71        3.7        0.45        1.17       -0.52        1.11
0.056899        2.56050        0.571        2.373417        2.747577        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.26        3.20        0.88        1.827        1.308        4.71       16.81        5.71        1.59         0        1.69        2.22        3.48        0.00        0.00        0.80        0.0415        7.40        9.30       10.2        0.0        0.000        0.00        0.00        1.60        1.59        1.6        0.45        0.65       -0.27        1.06
0.056899        1.81680        0.816        1.816775        2.043062        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.47        2.70        0.88        2.200        1.763        7.16     -221.88        8.16        1.05         0        1.49        2.05        2.45        0.00        0.00        0.75        0.0613        7.62        9.05       12.6        0.0        0.000        0.00        0.00        2.63        3.92        3.9        0.43        1.05       -0.42        1.10
0.056899        1.99650        0.735        1.996391        2.375669        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.40        2.83        0.88        2.077        1.610        6.35       88.64        7.35        1.18         0        1.55        2.09        2.74        0.00        0.00        0.77        0.0550        7.58        9.19       11.4        0.0        0.000        0.00        0.00        2.17        2.91        2.9        0.44        0.92       -0.37        1.09
0.056899        2.29870        0.653        2.189781        2.323806        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.32        3.03        0.88        1.980        1.474        5.53       30.38        6.53        1.36         0        1.62        2.13        3.06        0.00        0.00        0.78        0.0476        7.48        9.20       10.7        0.0        0.000        0.00        0.00        1.84        2.16        2.2        0.44        0.78       -0.31        1.08
0.056899        2.41190        0.653        2.411898        2.539676        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.31        3.11        0.87        2.028        1.503        5.53       28.86        6.53        1.36         0        1.62        2.14        2.94        0.00        0.00        0.77        0.0463        7.43        9.06       11.5        0.0        0.000        0.00        0.00        1.83        2.16        2.2        0.43        0.82       -0.30        1.08
0.056899        2.56460        0.571        2.549482        3.033837        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.26        3.20        0.88        1.829        1.309        4.71       16.79        5.71        1.59         0        1.69        2.22        3.47        0.00        0.00        0.80        0.0414        7.40        9.29       10.2        0.0        0.000        0.00        0.00        1.60        1.60        1.6        0.45        0.65       -0.27        1.06
0.056899        1.98730        0.735        1.836618        2.022108        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.40        2.82        0.88        2.072        1.608        6.35       90.11        7.35        1.18         0        1.55        2.09        2.77        0.00        0.00        0.77        0.0552        7.58        9.20       11.2        0.0        0.000        0.00        0.00        2.17        2.91        2.9        0.44        0.91       -0.37        1.09
0.044984        1.78570        0.816        1.780349        2.124170        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.47        2.67        0.88        2.181        1.745        7.16     -140.05        8.16        1.05         0        1.51        2.05        2.62        0.00        0.00        0.75        0.0490        9.43       11.79       14.7        0.0        0.000        0.00        0.00        2.62        4.00        4.0        0.44        1.00       -0.43        1.10
0.044984        0.93280        1.061        0.925686        0.948411        1.061        1.061        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.91        1.93        0.91        2.049        1.890        9.61      -17.86       10.61        0.78         0        1.33        1.91        2.07        0.00        0.00        0.73        0.0822        9.99       12.31       16.6        0.0        0.000        0.00        0.00        3.68        3.04        3.0        0.47        1.40       -0.77        1.13
0.044984        1.19910        0.980        1.141543        1.273136        0.980        0.980        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.72        2.19        0.90        2.146        1.879        8.80      -24.95        9.80        0.85         0        1.39        1.96        2.25        0.00        0.00        0.74        0.0680        9.78       12.08       15.8        0.0        0.000        0.00        0.00        3.64        3.70        3.7        0.46        1.25       -0.62        1.12
0.044984        1.48670        0.898        1.485577        1.557684        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.58        2.44        0.89        2.190        1.829        7.98      -41.69        8.98        0.94         0        1.45        2.01        2.42        0.00        0.00        0.74        0.0573        9.59       11.90       15.3        0.0        0.000        0.00        0.00        3.48        5.17        5.2        0.45        1.12       -0.51        1.11
0.044984        1.78740        0.816        1.702560        1.896426        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.47        2.67        0.88        2.182        1.746        7.16     -140.84        8.16        1.05         0        1.51        2.05        2.62        0.00        0.00        0.75        0.0490        9.43       11.78       14.7        0.0        0.000        0.00        0.00        2.62        3.99        4.0        0.44        1.00       -0.43        1.10
0.044984        2.14300        0.735        2.143046        2.300502        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.38        2.93        0.87        2.152        1.648        6.35       84.66        7.35        1.18         0        1.58        2.10        2.79        0.00        0.00        0.76        0.0417        9.26       11.65       14.7        0.0        0.000        0.00        0.00        2.13        2.91        2.9        0.43        0.91       -0.36        1.09
0.044984        2.41170        0.653        2.280640        2.542724        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.31        3.11        0.87        2.028        1.498        5.53       30.43        6.53        1.36         0        1.64        2.14        3.15        0.00        0.00        0.77        0.0366        9.16       11.75       13.6        0.0        0.000        0.00        0.00        1.83        2.18        2.2        0.43        0.77       -0.31        1.07
0.044984        2.66360        0.571        2.259398        2.721311        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.25        3.26        0.88        1.864        1.325        4.71       16.96        5.71        1.59         0        1.71        2.21        3.61        0.00        0.00        0.79        0.0321        9.08       11.90       12.8        0.0        0.000        0.00        0.00        1.60        1.62        1.6        0.44        0.63       -0.27        1.05
0.035565        1.58660        0.898        1.480524        1.634807        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.56        2.52        0.88        2.262        1.866        7.98      -42.71        8.98        0.94         0        1.48        2.01        2.50        0.00        0.00        0.74        0.0435       11.79       15.06       19.2        0.0        0.000        0.00        0.00        3.29        5.42        5.4        0.44        1.09       -0.49        1.10
0.035565        0.77700        1.143        0.685468        0.785130        1.143        1.143        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.09        1.76        0.92        2.015        1.931       10.43      -14.29       11.43        0.72         0        1.30        1.95        1.99        0.00        0.00        0.72        0.0750       12.55       15.85       21.6        0.0        0.000        0.00        0.00        4.16        3.28        3.3        0.48        1.51       -0.91        1.13
0.035565        1.03390        1.061        0.993015        1.084127        1.061        1.061        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.85        2.03        0.90        2.158        1.954        9.61      -18.61       10.61        0.78         0        1.36        2.04        2.18        0.00        0.00        0.73        0.0610       12.26       15.51       20.5        0.0        0.000        0.00        0.00        4.10        3.90        3.9        0.46        1.34       -0.72        1.12
0.035565        1.29450        0.980        1.140473        1.294507        0.980        0.980        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.69        2.28        0.89        2.230        1.925        8.80      -25.63        9.80        0.85         0        1.42        2.00        2.42        0.00        0.00        0.73        0.0513       12.02       15.27       19.5        0.0        0.000        0.00        0.00        4.04        4.93        4.9        0.45        1.20       -0.59        1.11
0.035565        1.29930        0.980        1.238416        1.368332        0.980        0.980        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.69        2.28        0.89        2.234        1.927        8.80      -25.75        9.80        0.85         0        1.42        2.00        2.33        0.00        0.00        0.73        0.0512       12.02       15.26       19.8        0.0        0.000        0.00        0.00        4.04        4.95        4.9        0.45        1.21       -0.59        1.11
0.035565        2.76490        0.571        2.566277        2.884145        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.25        3.33        0.87        1.899        1.340        4.71       17.18        5.71        1.59         0        1.74        2.21        3.73        0.00        0.00        0.79        0.0248       11.19       15.17       16.1        0.0        0.000        0.00        0.00        1.60        1.60        1.6        0.44        0.61       -0.26        1.05
0.035565        1.58930        0.898        1.589290        1.739649        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.56        2.52        0.88        2.264        1.868        7.98      -42.85        8.98        0.94         0        1.48        2.01        2.49        0.00        0.00        0.74        0.0435       11.79       15.05       19.3        0.0        0.000        0.00        0.00        3.29        5.42        5.4        0.44        1.09       -0.49        1.11
0.035565        1.90930        0.816        1.909337        2.102982        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.45        2.76        0.87        2.255        1.783        7.16     -154.00        8.16        1.05         0        1.54        2.05        2.66        0.00        0.00        0.75        0.0372       11.58       14.89       18.9        0.0        0.000        0.00        0.00        2.54        3.93        3.9        0.43        0.99       -0.41        1.10
0.035565        2.20400        0.735        2.200024        2.263533        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.37        2.97        0.87        2.182        1.662        6.35       88.65        7.35        1.18         0        1.60        2.10        2.93        0.00        0.00        0.76        0.0324       11.43       14.89       17.8        0.0        0.000        0.00        0.00        2.11        2.91        2.9        0.43        0.87       -0.35        1.09
0.035565        2.31250        0.735        2.312493        2.565897        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.36        3.04        0.86        2.235        1.694        6.35       75.54        7.35        1.18         0        1.60        2.10        2.85        0.00        0.00        0.75        0.0315       11.34       14.65       18.9        0.0        0.000        0.00        0.00        2.09        2.86        2.9        0.42        0.89       -0.34        1.09
0.035565        2.50900        0.653        2.495308        2.604558        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.30        3.17        0.87        2.069        1.515        5.53       30.98        6.53        1.36         0        1.67        2.14        3.27        0.00        0.00        0.77        0.0283       11.29       14.96       16.9        0.0        0.000        0.00        0.00        1.82        2.19        2.2        0.43        0.74       -0.30        1.07
