xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.091030        3.34270        0.571        3.051579        3.372844        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.20        3.66        0.77        2.088        1.679        4.71      -10.24        5.71        1.59         0        1.74        2.35        2.43        0.00        0.00        0.69        0.1068        4.66        4.21        6.3        0.0        0.000        0.00        0.00        2.59        1.43        1.4        0.30        1.63       -0.40        1.21
0.091030        5.21470        0.327        5.096393        5.254173        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.08        4.57        0.76        1.493        1.261        2.27      -21.72        3.27        3.30         0        1.91        2.65        2.80        0.00        0.00        0.72        0.0698        4.50        4.21        5.9        0.0        0.000        0.00        0.00        2.49        1.76        1.8        0.30        1.31       -0.25        1.19
0.091030        5.41670        0.327        5.416726        6.383908        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.07        4.65        0.75        1.522        1.287        2.27      -21.74        3.27        3.30         0        1.91        2.50        2.74        0.00        0.00        0.72        0.0686        4.46        4.09        6.4        0.0        0.000        0.00        0.00        2.49        1.75        1.7        0.29        1.34       -0.24        1.19
0.091030        6.22290        0.245        6.051678        6.736382        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.04        4.99        0.76        1.222        1.098        1.45      -61.20        2.45        5.17         0        1.98        2.75        2.96        0.00        0.00        0.74        0.0580        4.43        4.20        5.9        0.0        0.000        0.00        0.00        2.45        1.97        2.0        0.30        1.19       -0.20        1.18
0.091030        7.46870        0.163        7.354828        7.582526        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.47        0.77        0.891        0.910        0.63       35.01        1.63       11.90         0        2.06        2.89        3.19        0.00        0.00        0.76        0.0466        4.36        4.22        5.7        0.0        0.000        0.00        0.00        2.40        2.43        2.4        0.30        1.04       -0.16        1.17
0.071969        3.98860        0.490        3.703550        4.463775        0.490        0.490        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.15        3.99        0.75        1.957        1.577        3.90      -11.41        4.90        1.92         0        1.81        2.43        2.57        0.00        0.00        0.69        0.0730        5.56        5.47        7.9        0.0        0.000        0.00        0.00        2.83        1.81        1.8        0.30        1.52       -0.34        1.20
0.071969        0.05270        1.061        0.047142        0.053671        1.061        1.061        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        4.07        0.46        0.97        0.487        0.374        9.61       -4.91       10.61        0.78         1        2.38        2.76        2.85        0.00        0.00        0.79        0.6890        6.92        8.44       12.7        0.0        0.000        0.00        0.00        2.85        1.53        1.5        0.56        2.72       -4.22        1.65
0.071969        0.06080        0.980        0.052049        0.062111        0.980        0.980        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.47        0.49        0.97        0.483        0.355        8.80      -10.21        9.80        0.85         1        2.43        2.82        3.05        0.00        0.00        0.80        0.6135        6.96        8.68       12.7        0.0        0.000        0.00        0.00        2.20        1.45        1.4        0.59        2.08       -3.78        1.51
0.071969        0.06180        0.980        0.061827        0.068112        0.980        0.980        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.44        0.50        0.97        0.487        0.357        8.80      -10.20        9.80        0.85         1        2.44        2.83        3.01        0.00        0.00        0.80        0.6092        6.96        8.68       13.0        0.0        0.000        0.00        0.00        2.22        1.47        1.5        0.59        2.08       -3.75        1.51
0.071969        2.29540        0.816        2.075166        2.297981        0.816        0.816        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.37        3.03        0.78        2.473        2.018        7.16       -7.60        8.16        1.05         0        1.63        2.17        2.20        0.00        0.00        0.67        0.1170        5.85        5.61        8.5        0.0        0.000        0.00        0.00        2.96        1.49        1.5        0.31        1.89       -0.59        1.22
0.071969        3.01690        0.653        2.751372        3.021138        0.653        0.653        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.24        3.47        0.76        2.268        1.818        5.53       -8.84        6.53        1.36         0        1.72        2.29        2.37        0.00        0.00        0.68        0.0935        5.70        5.51        8.1        0.0        0.000        0.00        0.00        2.89        1.62        1.6        0.30        1.71       -0.45        1.21
0.071969        3.47320        0.571        3.342554        3.865153        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.19        3.73        0.76        2.128        1.706        4.71       -9.90        5.71        1.59         0        1.76        2.33        2.46        0.00        0.00        0.69        0.0828        5.63        5.48        8.1        0.0        0.000        0.00        0.00        2.87        1.71        1.7        0.30        1.62       -0.39        1.21
0.071969        4.72960        0.408        4.729605        5.700447        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.11        4.35        0.75        1.775        1.456        3.08      -14.21        4.08        2.44         0        1.86        2.42        2.65        0.00        0.00        0.70        0.0628        5.47        5.38        8.2        0.0        0.000        0.00        0.00        2.79        1.94        1.9        0.29        1.43       -0.29        1.20
0.071969        4.61480        0.408        4.185245        5.044346        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.11        4.30        0.75        1.753        1.433        3.08      -14.00        4.08        2.44         0        1.87        2.52        2.69        0.00        0.00        0.70        0.0635        5.50        5.48        7.7        0.0        0.000        0.00        0.00        2.79        1.94        1.9        0.30        1.42       -0.29        1.20
0.071969        5.33750        0.327        5.163481        5.337467        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.07        4.62        0.75        1.511        1.275        2.27      -19.93        3.27        3.30         0        1.93        2.59        2.98        0.00        0.00        0.72        0.0547        5.45        5.52        7.3        0.0        0.000        0.00        0.00        2.75        2.13        2.1        0.30        1.29       -0.25        1.19
0.071969        5.55000        0.327        5.549952        6.060209        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.07        4.71        0.74        1.541        1.305        2.27      -20.30        3.27        3.30         0        1.92        2.51        2.78        0.00        0.00        0.71        0.0537        5.39        5.37        8.0        0.0        0.000        0.00        0.00        2.75        2.12        2.1        0.29        1.33       -0.24        1.19
0.071969        6.35400        0.245        6.248185        7.094988        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.04        5.04        0.75        1.235        1.112        1.45      -49.81        2.45        5.17         0        1.99        2.65        3.03        0.00        0.00        0.73        0.0455        5.37        5.52        7.4        0.0        0.000        0.00        0.00        2.71        2.43        2.4        0.30        1.18       -0.20        1.18
