xi              mu             p            mu_min          mu_max          p_min        p_max         ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
2.442053        0.05370        1.837        0.048012        0.054856        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.94        0.23        1.00        0.426        0.148      182.70       67.05      183.70        1.64         1        2.07        2.56        3.16        0.00        0.00        0.99        7.4362        1.20       -0.61        0.4        0.0        0.000        0.00        0.00        1.09        0.13        0.1        1.02        1.24       -1.36        1.01
2.442053        0.05420        2.020        0.052010        0.054971        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.31        0.23        1.00        0.470        0.166      201.00       71.54      202.00        1.49         1        2.07        2.56        3.01        0.00        0.00        0.99        8.0518        1.20       -0.61        0.4        0.0        0.000        0.00        0.00        1.10        0.09        0.1        1.02        1.44       -1.48        1.02
2.442053        0.05640        1.837        0.056432        0.060330        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.84        0.24        1.00        0.436        0.153      182.70       66.81      183.70        1.64         1        2.10        2.58        3.05        0.00        0.00        0.99        7.3213        1.20       -0.61        0.4        0.0        0.000        0.00        0.00        1.10        0.10        0.1        1.02        1.22       -1.40        1.02
2.442053        1.39330        1.286        1.312800        1.441669        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.54        1.18        0.99        1.518        1.082      127.60       64.79      128.60        2.35         0        1.02        2.15        2.27        0.00        0.00        0.98        1.1885        1.19       -0.62        0.3        0.0        0.000        0.00        0.00        1.10        0.12        0.1        1.02        0.92       -0.20        0.99
2.442053        1.53790        1.102        1.457017        1.549441        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.44        1.24        0.99        1.367        0.946      109.20       59.51      110.20        2.75         0        1.08        2.39        2.74        0.00        0.00        0.99        1.0213        1.19       -0.62        0.3        0.0        0.000        0.00        0.00        1.10        0.15        0.1        1.01        0.81       -0.17        0.99
2.442053        0.05590        2.020        0.055896        0.061718        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.25        0.24        1.00        0.478        0.169      201.00       68.11      202.00        1.49         1        2.08        2.57        2.91        0.00        0.00        0.99        7.9758        1.20       -0.61        0.4        0.0        0.000        0.00        0.00        1.10        0.09        0.1        1.02        1.42       -1.52        1.02
2.442053        1.57510        1.102        1.537346        1.688178        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.43        1.26        0.99        1.383        0.956      109.20       59.40      110.20        2.75         0        1.08        2.32        2.60        0.00        0.00        0.99        1.0032        1.19       -0.62        0.3        0.0        0.000        0.00        0.00        1.10        0.14        0.1        1.02        0.82       -0.17        0.99
1.930698        0.04980        2.939        0.046729        0.051599        2.939        2.939         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        6.56        0.22        1.00        0.656        0.238      292.90      490.65      293.90        1.02         1        2.01        2.46        2.48        0.00        0.00        0.98        8.5604        1.24       -0.52        0.5        0.0        0.000        0.00        0.00        1.12        0.06        0.1        1.05        2.63       -2.00        1.04
1.930698        0.05530        2.388        0.051707        0.055407        2.388        2.388         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.05        0.24        1.00        0.562        0.203      237.80      122.73      238.80        1.26         1        2.08        2.54        2.86        0.00        0.00        0.99        7.2631        1.25       -0.51        0.5        0.0        0.000        0.00        0.00        1.12        0.09        0.1        1.04        1.74       -1.72        1.03
1.930698        0.05250        2.755        0.051616        0.053898        2.755        2.755         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.99        0.23        1.00        0.631        0.230      274.50      228.78      275.50        1.09         1        2.04        2.49        2.60        0.00        0.00        0.99        8.1333        1.24       -0.52        0.5        0.0        0.000        0.00        0.00        1.12        0.07        0.1        1.05        2.28       -1.92        1.04
1.930698        0.05430        2.571        0.052898        0.055923        2.571        2.571         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.49        0.23        1.00        0.599        0.218      256.10      146.59      257.10        1.17         1        2.06        2.52        2.72        0.00        0.00        0.99        7.7027        1.25       -0.51        0.5        0.0        0.000        0.00        0.00        1.12        0.08        0.1        1.04        1.99       -1.83        1.03
1.930698        0.05440        2.571        0.054427        0.063378        2.571        2.571         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.48        0.23        1.00        0.600        0.218      256.10      143.41      257.10        1.17         1        2.06        2.52        2.70        0.00        0.00        0.99        7.6974        1.25       -0.51        0.5        0.0        0.000        0.00        0.00        1.12        0.08        0.1        1.04        1.98       -1.84        1.03
1.930698        0.05540        2.020        0.048967        0.056532        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.27        0.24        1.00        0.475        0.168      201.00       89.87      202.00        1.49         1        2.09        2.56        3.14        0.00        0.00        0.99        6.3401        1.25       -0.51        0.5        0.0        0.000        0.00        0.00        1.12        0.12        0.1        1.04        1.32       -1.50        1.02
1.930698        0.05570        2.204        0.053669        0.062939        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.64        0.24        1.00        0.520        0.186      219.40      103.55      220.40        1.37         1        2.09        2.55        2.97        0.00        0.00        0.99        6.8064        1.25       -0.51        0.5        0.0        0.000        0.00        0.00        1.12        0.10        0.1        1.04        1.52       -1.62        1.02
1.930698        1.28440        1.469        1.247335        1.462999        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.64        1.13        0.99        1.665        1.210      145.90       84.20      146.90        2.06         0        0.99        2.02        2.12        0.00        0.00        0.98        1.0602        1.24       -0.52        0.5        0.0        0.000        0.00        0.00        1.12        0.14        0.1        1.04        1.00       -0.24        0.99
1.930698        1.28510        1.469        1.150832        1.289443        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.64        1.13        0.99        1.665        1.210      145.90       84.20      146.90        2.06         0        0.99        2.01        2.11        0.00        0.00        0.98        1.0598        1.24       -0.52        0.5        0.0        0.000        0.00        0.00        1.12        0.14        0.1        1.04        1.00       -0.24        0.99
1.930698        1.45060        1.286        1.308703        1.470851        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.52        1.20        0.99        1.549        1.096      127.60       77.09      128.60        2.35         0        1.04        2.32        2.45        0.00        0.00        0.98        0.9098        1.24       -0.52        0.4        0.0        0.000        0.00        0.00        1.12        0.16        0.2        1.04        0.90       -0.20        0.99
1.930698        1.47990        1.286        1.476631        1.582285        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.52        1.22        0.99        1.564        1.106      127.60       76.90      128.60        2.35         0        1.04        2.10        2.33        0.00        0.00        0.98        0.8957        1.24       -0.52        0.5        0.0        0.000        0.00        0.00        1.12        0.16        0.2        1.04        0.91       -0.20        0.99
1.930698        1.59120        1.102        1.487811        1.605983        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.43        1.26        0.99        1.390        0.953      109.20       68.80      110.20        2.75         0        1.11        2.32        2.92        0.00        0.00        0.99        0.7864        1.24       -0.52        0.4        0.0        0.000        0.00        0.00        1.12        0.20        0.2        1.04        0.80       -0.17        0.99
1.526418        0.05770        2.204        0.057682        0.063652        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.56        0.24        1.00        0.529        0.191      219.40      136.39      220.40        1.37         1        2.12        2.57        3.06        0.00        0.00        0.99        5.3362        1.32       -0.37        0.6        0.0        0.000        0.00        0.00        1.15        0.13        0.1        1.07        1.40       -1.64        1.02
1.526418        0.05430        1.837        0.053176        0.059960        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.92        0.23        1.00        0.428        0.149      182.70      112.54      183.70        1.64         1        2.11        2.56        3.58        0.00        0.00        0.99        4.6451        1.32       -0.37        0.6        0.0        0.000        0.00        0.00        1.05        0.08        0.1        1.06        1.01       -1.38        1.01
1.526418        0.05570        2.755        0.055122        0.063201        2.755        2.755         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.81        0.24        1.00        0.650        0.241      274.50      698.74      275.50        1.09         1        2.08        2.51        2.73        0.00        0.00        0.99        6.3627        1.31       -0.38        0.6        0.0        0.000        0.00        0.00        1.15        0.09        0.1        1.09        2.06       -1.94        1.04
1.526418        0.05620        2.020        0.051942        0.057888        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.24        0.24        1.00        0.479        0.170      201.00      125.78      202.00        1.49         1        2.12        2.56        3.29        0.00        0.00        0.99        4.9962        1.32       -0.37        0.6        0.0        0.000        0.00        0.00        1.13        0.19        0.2        1.07        1.22       -1.51        1.02
1.526418        0.05710        2.204        0.052294        0.058154        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.59        0.24        1.00        0.527        0.190      219.40      132.23      220.40        1.37         1        2.11        2.56        3.14        0.00        0.00        0.99        5.3534        1.32       -0.37        0.6        0.0        0.000        0.00        0.00        1.15        0.13        0.1        1.07        1.40       -1.62        1.02
1.526418        0.05730        2.388        0.054992        0.060513        2.388        2.388         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.96        0.24        1.00        0.572        0.208      237.80      181.20      238.80        1.26         1        2.11        2.55        3.00        0.00        0.00        0.99        5.7023        1.32       -0.38        0.6        0.0        0.000        0.00        0.00        1.15        0.11        0.1        1.08        1.60       -1.73        1.03
1.526418        1.53090        1.286        1.494884        1.638954        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.51        1.24        0.99        1.591        1.114      127.60       90.02      128.60        2.35         0        1.07        2.22        2.47        0.00        0.00        0.98        0.6892        1.31       -0.39        0.6        0.0        0.000        0.00        0.00        1.15        0.21        0.2        1.09        0.89       -0.20        0.99
1.526418        0.05830        2.571        0.058262        0.064790        2.571        2.571         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.30        0.24        1.00        0.621        0.230      256.10      234.17      257.10        1.17         1        2.11        2.55        2.80        0.00        0.00        0.99        5.9885        1.31       -0.38        0.6        0.0        0.000        0.00        0.00        1.15        0.10        0.1        1.08        1.76       -1.86        1.03
1.526418        0.05850        2.020        0.058540        0.062080        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.15        0.24        1.00        0.489        0.174      201.00      115.26      202.00        1.49         1        2.14        2.58        3.17        0.00        0.00        0.99        4.9332        1.32       -0.37        0.6        0.0        0.000        0.00        0.00        1.15        0.15        0.2        1.07        1.21       -1.53        1.02
1.526418        1.17910        1.653        1.106232        1.333637        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.75        1.09        0.99        1.795        1.330      164.30      113.26      165.30        1.83         0        0.96        1.94        2.01        0.00        0.00        0.98        0.9388        1.31       -0.39        0.6        0.0        0.000        0.00        0.00        1.16        0.16        0.2        1.09        1.07       -0.28        1.00
1.526418        1.35400        1.469        1.258885        1.476233        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.62        1.16        0.99        1.709        1.232      145.90      101.51      146.90        2.06         0        1.01        2.03        2.20        0.00        0.00        0.98        0.8030        1.31       -0.39        0.6        0.0        0.000        0.00        0.00        1.15        0.18        0.2        1.10        0.98       -0.24        1.00
1.526418        1.66810        1.102        1.635372        1.766285        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.42        1.29        0.99        1.423        0.967      109.20       78.86      110.20        2.75         0        1.14        2.25        2.96        0.00        0.00        0.99        0.5997        1.31       -0.39        0.6        0.0        0.000        0.00        0.00        1.15        0.29        0.3        1.09        0.79       -0.17        0.99
