xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.139412        0.00280        3.283        0.00279        0.00302        3.047        3.519        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       29.57        0.05        0.99        0.174        0.051       31.83        9.04       32.83        0.94         4        2.85        3.06        3.12        3.92        1.12        0.835        2.7638        3.61        3.70        6.0        0.2        0.111        2.06        0.81     1860.08    54953.45   608524.2        0.42        5.14       -7.46        2.51
0.139412        0.00160        3.248        0.00142        0.00156        3.148        3.349        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       39.38        0.04        0.99        0.128        0.038       31.48      -20.31       32.48        0.95         5        2.92        3.11        3.12        3.73        1.12        0.837        3.6902        3.56        3.58        5.9        0.1        0.068        2.05        0.77     4747.14    83420.03   622305.7        0.40        6.70       -9.78        3.00
0.139412        0.00150        2.987        0.00147        0.00156        2.801        3.173        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       36.58        0.04        0.99        0.116        0.034       28.87       11.44       29.87        1.04         5        2.96        3.15        3.20        3.93        1.11        0.849        3.5299        3.69        3.86        6.3        0.4        0.197        2.07        0.82     6988.22   141353.20  1104101.0        0.46        5.52       -9.84        2.68
0.139412        0.00580        2.805        0.00530        0.00579        2.627        2.983        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       17.56        0.08        0.99        0.213        0.062       27.05        9.31       28.05        1.11         3        2.81        3.02        3.28        4.86        1.12        0.856        1.7290        3.82        4.24        6.3        0.6        0.260        2.10        1.02      481.91    24171.99   481493.2        0.52        2.74       -5.01        1.81
0.139412        0.09320        2.381        0.09318        0.10355        2.326        2.435        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.63        0.31        0.97        0.727        0.227       22.80       37.28       23.80        1.32         1        2.27        2.65        3.30        8.85        1.10        0.862        0.4208        3.86        5.08        5.9        0.6        0.250        2.10        1.86        2.38        2.74        2.7        0.55        1.16       -1.23        1.28
0.139412        0.01630        2.461        0.01629        0.01915        2.432        2.894        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        9.10        0.13        0.98        0.314        0.090       23.61        7.31       24.61        1.27         2        2.62        2.89        3.40        6.97        1.11        0.871        0.9283        3.87        4.56        6.1        2.8        0.520        2.10        1.47       19.39      383.29     2252.1        0.56        1.57       -2.72        1.44
0.139412        0.01670        2.655        0.01537        0.01709        2.479        2.831        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        9.73        0.13        0.98        0.343        0.098       25.55        7.54       26.55        1.17         2        2.61        2.89        3.34        6.11        1.13        0.861        0.9748        3.83        4.45        6.0        0.7        0.278        2.10        1.28       13.67      108.85      365.2        0.53        1.80       -2.81        1.51
0.139412        0.00580        2.858        0.00576        0.00641        2.716        3.000        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       17.85        0.08        0.99        0.218        0.063       27.58        7.64       28.58        1.09         3        2.80        3.02        3.28        4.76        1.12        0.854        1.7488        3.81        4.20        6.3        0.4        0.183        2.10        1.00      437.51    20018.50   387234.2        0.51        2.84       -5.04        1.84
0.139412        0.01620        2.428        0.01620        0.01806        2.399        2.856        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        9.00        0.13        0.98        0.309        0.088       23.28        8.66       24.28        1.29         2        2.63        2.89        3.42        7.40        1.11        0.872        0.9204        3.88        4.57        6.1        5.1        0.591        2.11        1.56       21.14      557.40     3672.6        0.56        1.54       -2.70        1.43
0.139412        0.09010        2.466        0.08698        0.09106        2.222        2.548        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.83        0.30        0.97        0.741        0.231       23.66       70.35       24.66        1.27         1        2.24        2.63        3.30        8.76        1.15        0.858        0.4365        3.84        5.02        5.4        1.0        0.335        2.11        1.85        2.47        3.02        3.0        0.53        1.23       -1.24        1.30
0.126477        0.00290        3.333        0.00275        0.00292        3.241        3.424        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       29.73        0.05        0.99        0.179        0.053       32.33       25.04       33.33        0.93         4        2.88        3.08        3.17        4.03        1.13        0.833        2.5255        3.91        4.20        6.6        0.2        0.096        2.16        0.87     2099.20    46613.85   514713.3        0.43        4.92       -7.60        2.46
0.126477        0.00280        3.191        0.00271        0.00295        3.157        3.431        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       28.66        0.05        0.99        0.170        0.050       30.91       19.59       31.91        0.97         4        2.90        3.09        3.20        4.16        1.12        0.839        2.4729        3.98        4.35        6.8        0.0        0.026        2.18        0.91     2315.20    53511.49   603908.2        0.46        4.48       -7.62        2.34
