xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.000655        0.84930        4.696        0.846960        0.884380        4.354        5.038        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.36        0.92        0.93        4.328        3.553      155.53      -34.01      156.53        0.64         0        0.97        1.50        1.92       32.20        0.00        0.87        0.0009      679.67     1174.63     1303.9        2.4        0.679       27.80       26.86    40003.11  1097715.00 149186400.0        0.68        1.92       -0.65        1.04
0.000655        1.16720        3.951        1.158331        1.229451        3.614        4.288        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.67        1.08        0.92        4.269        3.322      130.70      -36.55      131.70        0.77         0        1.08        1.46        2.14       41.17        0.00        0.87        0.0007      688.85     1191.73     1321.3        2.3        0.672       27.97       34.55    23377.24  1313031.00 155164700.0        0.67        1.71       -0.49        1.04
0.000655        1.04180        4.379        1.041756        1.055661        4.127        4.631        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.96        1.02        0.92        4.469        3.559      144.97      -36.73      145.97        0.69         0        1.00        1.44        1.95       36.93        0.00        0.86        0.0008      689.36     1185.05     1372.2        1.6        0.586       28.00       31.03    26995.09  1169673.00 141653300.0        0.66        1.80       -0.54        1.03
0.000655        1.09950        4.082        0.982975        1.114441        3.872        4.292        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.78        1.05        0.92        4.280        3.364      135.07      -35.95      136.07        0.74         0        1.06        1.47        2.15       38.89        0.00        0.87        0.0007      690.76     1195.17     1308.3        1.9        0.631       27.97       32.65    25525.93  1265910.00 152169100.0        0.67        1.75       -0.52        1.04
0.000655        1.20460        3.860        1.069115        1.225349        3.655        4.065        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.61        1.10        0.92        4.237        3.278      127.67      -36.61      128.67        0.78         0        1.10        1.46        2.18       42.37        0.00        0.87        0.0007      658.90     1140.75     1256.6        2.3        0.667       27.34       34.75    19334.84  1151965.00 127510700.0        0.67        1.69       -0.48        1.04
0.000655        1.26050        3.831        1.260547        1.375414        3.736        4.115        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.55        1.12        0.92        4.301        3.312      126.69      -37.51      127.69        0.79         0        1.10        1.43        2.14       44.86        0.00        0.87        0.0007      685.89     1184.16     1340.9        4.0        0.781       28.04       37.76    22275.13  1513075.00 178110200.0        0.66        1.67       -0.46        1.03
0.000543        1.18240        3.939        1.173755        1.334921        3.586        4.057        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.65        1.09        0.92        4.283        3.328      130.31      -36.47      131.31        0.77         0        1.09        1.45        2.17       42.66        0.00        0.87        0.0006      781.60     1351.65     1496.0        5.9        0.841       29.98       38.39    38450.16  2411309.00 337492600.0        0.67        1.70       -0.49        1.04
0.000543        1.14270        4.018        1.012052        1.146911        3.959        4.076        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.72        1.07        0.92        4.295        3.355      132.92      -36.07      133.92        0.75         0        1.08        1.46        2.16       41.20        0.00        0.87        0.0006      794.46     1373.84     1512.8        5.1        0.818       30.19       37.32    41656.64  2422497.00 343150500.0        0.67        1.72       -0.50        1.04
0.000543        1.09450        4.255        1.094460        1.248852        4.214        4.539        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.86        1.05        0.92        4.451        3.515      140.82      -36.69      141.82        0.71         0        1.03        1.43        2.01       39.52        0.00        0.86        0.0006      829.63     1427.21     1640.2        4.8        0.811       30.92       36.66    50030.64  2619929.00 389647200.0        0.66        1.77       -0.52        1.03
0.000543        0.94650        4.642        0.946509        0.972063        4.423        4.861        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.19        0.97        0.92        4.516        3.656      153.73      -35.86      154.73        0.65         0        0.97        1.45        1.89       35.28        0.00        0.86        0.0007      833.19     1430.96     1658.8        5.0        0.816       31.03       32.85    64752.43  2411533.00 384800900.0        0.67        1.87       -0.59        1.03
0.000543        0.86660        4.675        0.790791        0.871656        4.520        4.830        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.32        0.93        0.93        4.352        3.562      154.83      -34.01      155.83        0.65         0        0.98        1.50        2.16       33.66        0.00        0.87        0.0007      838.80     1449.08     1593.7       10.6        0.903       31.13       31.45    84466.59  2720654.00 466501200.0        0.68        1.91       -0.64        1.04
