xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.013470        0.67740        2.287        0.60269        0.67740        2.198        2.361        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.82        0.81        1.882        0.284       21.87        8.72       22.87        1.37         1        2.90        2.95        5.45       23.14        1.33        0.724        0.0214       20.69       39.15       31.6        1.6        0.552        5.35       12.39        6.88       28.92       33.4        0.22        0.77       -0.45        1.19
0.013470        0.68740        2.324        0.62200        0.68739        2.303        2.577        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.83        0.81        1.927        0.292       22.24        9.34       23.24        1.35         1        2.91        2.95        5.33       22.30        1.34        0.718        0.0216       20.40       38.80       31.3        1.0        0.449        5.31       11.84        6.51       23.37       26.1        0.21        0.80       -0.44        1.20
0.010058        0.64440        2.266        0.58777        0.64441        2.182        2.509        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.819        0.268       21.66       10.53       22.66        1.38         1        2.89        2.93        6.13       24.03        1.35        0.732        0.0159       27.83       49.44       42.0        1.1        0.477        6.13       14.74        8.74       40.94       47.5        0.23        0.65       -0.45        1.15
0.008278        0.60580        2.235        0.55706        0.60583        2.171        2.381        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.14        0.78        0.83        1.740        0.248       21.35       13.05       22.35        1.41         1        2.88        2.91        7.10       27.56        1.36        0.742        0.0129       34.17       58.81       50.4        2.6        0.670        6.79       18.74       12.86      111.58      157.7        0.24        0.54       -0.46        1.10
0.007510        0.66930        2.385        0.62621        0.66930        2.360        2.519        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.13        0.82        0.81        1.951        0.289       22.85       14.98       23.85        1.31         1        2.92        2.94        6.07       25.31        1.36        0.717        0.0121       35.55       60.45       54.1        2.5        0.663        7.04       17.85       13.75      112.38      159.5        0.21        0.65       -0.45        1.15
0.005087        0.72330        2.636        0.69138        0.72326        2.501        2.729        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.17        0.85        0.78        2.242        0.343       25.36       26.41       26.36        1.18         1        2.96        2.97        5.75       24.91        1.39        0.683        0.0087       47.29       76.10       73.0        2.4        0.664        8.31       20.72       21.87      253.49      443.1        0.17        0.72       -0.43        1.16
0.004187        0.59720        2.452        0.54059        0.61793        2.396        2.620        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.25        0.77        0.82        1.895        0.262       23.52       25.66       24.52        1.28         1        2.88        2.90        8.43       29.07        1.41        0.726        0.0068       62.09       98.94       89.8        0.9        0.423        9.14       26.59       26.49      338.30      591.2        0.21        0.43       -0.45        1.05
0.004187        0.60460        2.491        0.53688        0.60461        2.413        2.812        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.26        0.78        0.82        1.937        0.269       23.91       25.58       24.91        1.25         1        2.88        2.90        8.16       29.73        1.41        0.721        0.0068       61.12       97.20       87.8        1.9        0.618        9.16       27.25       34.81      728.67     1791.4        0.20        0.44       -0.44        1.05
0.003446        0.65670        2.673        0.60593        0.65666        2.365        2.734        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.26        0.81        0.80        2.166        0.311       25.73       42.38       26.73        1.17         1        2.92        2.93        6.97       28.69        1.42        0.694        0.0058       68.57      105.84      101.2        4.6        0.788        9.96       28.62       57.48     2290.62     9423.3        0.17        0.53       -0.43        1.09
0.003446        0.70620        2.796        0.66536        0.70619        2.481        2.798        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.25        0.84        0.78        2.349        0.352       26.96       71.58       27.96        1.11         1        2.96        2.96        6.15       26.58        1.42        0.672        0.0060       65.01       99.49       98.6        3.3        0.733        9.84       26.17       44.79     1177.27     3626.9        0.15        0.64       -0.42        1.13
